Class,Precision,Recall,F1-Score,Support
backdoor,0.46088210551616393,0.9589897474368592,0.622564935064935,3999
dos,0.0,0.0,0.0,4000
injection,0.0,0.0,0.0,4000
mitm,0.0,0.0,0.0,209
normal,0.9406828703703703,0.975592677803341,0.957819788853425,9997
password,0.4553430426390595,0.6489122280570142,0.5351618890492885,3999
scanning,0.22368286966269235,0.5491618714035527,0.31788559015206375,3997
xss,0.0,0.0,0.0,4000
